City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,troitsko-pechorsk,62.7084,56.1964,-18.89,100,94,1.08,RU,1675541509
1,port-cartier,50.0334,-66.8654,-19.03,69,100,8.82,CA,1675541510
2,san patricio,28.017,-97.5169,20.97,52,61,4.33,US,1675541223
3,ushuaia,-54.8,-68.3,12.81,50,0,1.03,AR,1675541133
4,palu,-0.8917,119.8707,23.83,94,100,0.83,ID,1675541266
5,mataura,-46.1927,168.8643,21.16,74,100,2.99,NZ,1675541200
6,taltal,-25.4,-70.4833,22.47,74,14,1.6,CL,1675541510
7,rikitea,-23.1203,-134.9692,25.85,76,3,7.04,PF,1675541189
8,pombas,17.1503,-25.0201,20.88,61,24,7.4,CV,1675541510
9,berlevag,70.8578,29.0864,-2.0,86,100,3.6,NO,1675541511
10,guerrero negro,27.9769,-114.0611,20.87,35,0,4.19,MX,1675541252
11,east london,-33.0153,27.9116,24.45,82,100,7.59,ZA,1675541185
12,saskylakh,71.9167,114.0833,-42.58,100,77,1.17,RU,1675541212
13,bethel,41.3712,-73.414,-7.36,36,75,3.6,US,1675540989
14,muros,42.7762,-9.0603,11.16,79,1,4.22,ES,1675541194
15,mahebourg,-20.4081,57.7,26.25,83,40,2.57,MU,1675540924
16,bambous virieux,-20.3428,57.7575,26.23,84,43,4.67,MU,1675541431
17,vaini,-21.2,-175.2,27.09,89,20,4.63,TO,1675540894
18,galle,6.0367,80.217,24.96,86,23,1.65,LK,1675541511
19,ponta do sol,32.6667,-17.1,17.62,61,23,4.39,PT,1675541220
20,kapaa,22.0752,-159.319,23.18,94,100,6.69,US,1675541175
21,chippewa falls,44.9369,-91.3929,-1.99,63,75,2.06,US,1675541512
22,san cristobal,7.7669,-72.225,26.1,34,11,3.15,VE,1675541220
23,ust-koksa,50.2696,85.6108,-7.66,98,100,0.14,RU,1675541512
24,saint-philippe,-21.3585,55.7679,25.77,87,98,4.51,RE,1675541247
25,karratha,-20.7377,116.8463,31.17,48,76,4.64,AU,1675541512
26,enid,36.3956,-97.8784,17.77,35,0,14.4,US,1675541275
27,coihaique,-45.5752,-72.0662,29.97,26,20,2.57,CL,1675541426
